station,emission,echeance,horizon,mb1,mb2,mb3,mb4,mb5,mb6,mb7,mb8,mb9,mb10,mb11,mb12,mb13,mb14,mb15,mb16,mb17,mb18,mb19,mb20,mb21,mb22,mb23,mb24,mb25,mb26,mb27,mb28,mb29,mb30,mb31,mb32,mb33,mb34,mb35,mb36,mb37,mb38,mb39,mb40,mb41,mb42,mb43,mb44,mb45,mb46,mb47,mb48,mb49,mb50
022513,2021-08-06 00:00:00,2021-08-07 00:00:00,24,6.5625,6.625,6.484375,6.328125,6.359375,7.03125,6.734375,6.703125,6.71875,6.46875,6.609375,6.578125,7.140625,7.140625,6.734375,7.578125,6.1875,6.765625,6.5,7.171875,6.71875,6.234375,6.890625,6.421875,6.703125,7.09375,6.40625,6.6875,6.53125,6.609375,6.703125,7.703125,7.53125,6.65625,6.53125,6.53125,7.265625,6.640625,6.765625,6.625,6.859375,6.671875,6.8125,8.96875,6.484375,7.75,6.375,6.8125,6.359375,7.15625
022513,2021-08-06 00:00:00,2021-08-08 00:00:00,48,5.828125,5.84375,5.8125,5.75,5.96875,6.203125,5.984375,6.625,6.078125,6.0625,5.921875,6.0625,6.390625,6.296875,5.984375,6.765625,5.890625,6.359375,5.796875,6.5625,6.078125,5.671875,6.0625,5.8125,6.453125,6.515625,5.78125,5.921875,6.328125,6.234375,6.015625,6.78125,7.046875,6.203125,6.25,6.046875,6.234375,6.421875,5.890625,5.796875,5.859375,6.046875,5.9375,8.046875,6.0625,7.21875,5.890625,6.28125,5.765625,6.375
022513,2021-08-06 00:00:00,2021-08-09 00:00:00,72,5.9375,6.828125,5.71875,5.75,6.5625,6.421875,6.0,7.0,6.234375,6.171875,6.234375,6.125,6.046875,6.5,6.6875,6.875,6.28125,6.140625,6.171875,6.625,8.09375,5.875,6.046875,5.890625,7.203125,7.140625,5.953125,6.15625,6.375,6.25,6.234375,6.5625,7.6875,6.796875,6.34375,5.765625,6.109375,6.078125,5.765625,6.03125,7.03125,6.4375,5.9375,7.53125,7.46875,7.28125,6.0,6.390625,5.78125,6.359375
022513,2021-08-06 00:00:00,2021-08-10 00:00:00,96,5.5625,5.828125,5.5625,5.484375,6.015625,6.015625,6.609375,6.25,6.03125,5.734375,5.65625,5.703125,5.65625,5.671875,5.8125,5.953125,5.765625,5.703125,5.609375,9.140625,6.546875,5.484375,6.171875,5.609375,6.125,6.203125,5.75,7.9375,11.53125,5.640625,6.03125,5.734375,6.734375,6.0,5.703125,5.484375,5.703125,5.703125,5.515625,5.578125,5.96875,6.171875,6.296875,6.203125,6.515625,6.203125,5.65625,6.484375,5.5625,7.640625
022513,2021-08-06 00:00:00,2021-08-11 00:00:00,120,5.375,5.671875,5.703125,5.390625,5.640625,5.578125,6.59375,5.84375,6.65625,5.515625,5.484375,5.421875,5.828125,5.46875,6.796875,6.953125,5.65625,5.515625,5.390625,8.703125,5.78125,5.65625,5.859375,5.640625,5.984375,6.03125,5.453125,9.890625,12.953125,5.484375,8.0625,5.5,8.109375,5.671875,5.453125,5.328125,5.515625,5.46875,5.96875,5.5,5.640625,5.71875,6.1875,5.71875,5.984375,11.890625,5.5,6.21875,6.390625,7.734375
022513,2021-08-06 00:00:00,2021-08-12 00:00:00,144,5.3125,5.734375,6.234375,5.9375,5.75,6.40625,6.703125,5.703125,7.890625,8.359375,5.421875,5.34375,6.421875,5.71875,7.875,7.25,6.0,8.71875,5.5,8.921875,6.328125,5.671875,5.9375,5.484375,6.515625,6.375,13.1875,11.328125,15.0625,6.25,9.03125,5.59375,7.640625,5.9375,5.4375,5.375,5.4375,5.375,5.78125,5.875,5.765625,5.703125,6.765625,5.78125,5.71875,11.75,5.8125,7.234375,6.6875,8.703125
022513,2021-08-07 00:00:00,2021-08-08 00:00:00,24,6.921875,7.25,7.125,6.953125,7.0625,7.125,6.734375,6.671875,6.453125,6.40625,7.46875,6.734375,6.421875,6.640625,6.734375,7.453125,7.6875,6.34375,5.875,7.390625,6.90625,7.0,8.625,8.328125,7.109375,7.09375,6.1875,6.171875,6.296875,6.46875,7.28125,6.65625,7.59375,6.875,6.796875,6.578125,5.96875,6.859375,6.765625,6.8125,6.796875,6.09375,6.65625,6.15625,6.28125,6.5,7.484375,6.859375,6.890625,6.171875
022513,2021-08-07 00:00:00,2021-08-09 00:00:00,48,7.53125,8.21875,7.8125,8.375,7.71875,7.0,7.890625,6.90625,8.640625,6.625,7.1875,8.265625,7.265625,6.90625,8.234375,8.84375,8.515625,7.0,6.53125,10.203125,8.0625,7.6875,9.1875,9.375,7.6875,7.390625,6.328125,7.6875,7.5,7.234375,8.265625,7.5625,8.4375,8.4375,7.515625,6.828125,8.015625,7.5625,6.578125,7.109375,7.4375,6.75,7.1875,6.265625,6.875,7.21875,8.65625,7.421875,8.171875,6.78125
022513,2021-08-07 00:00:00,2021-08-10 00:00:00,72,6.609375,6.828125,6.3125,8.734375,6.921875,7.53125,7.25,5.703125,6.625,6.40625,6.015625,7.390625,5.984375,6.015625,7.140625,8.0,6.6875,6.328125,5.765625,10.703125,6.875,7.3125,7.75,7.140625,6.9375,6.140625,6.296875,7.3125,6.71875,5.953125,6.578125,6.234375,7.90625,6.515625,8.265625,5.78125,7.46875,6.4375,5.828125,5.78125,6.828125,5.734375,5.953125,5.75,6.359375,6.234375,7.5625,6.21875,7.359375,7.203125
022513,2021-08-07 00:00:00,2021-08-11 00:00:00,96,6.046875,6.140625,5.953125,8.8125,6.875,6.390625,6.9375,5.46875,6.25,6.171875,5.734375,6.609375,5.5625,5.59375,6.5,7.328125,5.96875,5.65625,5.46875,9.96875,6.4375,6.40625,6.421875,6.296875,6.296875,5.765625,5.953125,7.8125,5.75,5.578125,6.484375,5.65625,9.09375,5.8125,7.9375,5.609375,7.453125,6.046875,5.5625,5.484375,6.015625,5.4375,5.609375,5.53125,5.96875,5.734375,6.484375,5.921875,6.5625,6.234375
022513,2021-08-07 00:00:00,2021-08-12 00:00:00,120,5.734375,5.875,5.734375,9.453125,6.484375,5.921875,7.359375,5.40625,6.265625,6.296875,5.640625,6.3125,5.640625,6.046875,6.640625,7.234375,5.734375,5.515625,5.484375,10.84375,6.15625,6.359375,6.75,6.03125,5.984375,5.5625,6.171875,7.953125,5.671875,5.65625,7.015625,5.609375,11.0625,5.625,8.1875,6.25,9.875,5.734375,5.671875,5.671875,5.921875,5.34375,5.765625,5.46875,5.796875,5.546875,6.046875,6.78125,6.25,5.859375
022513,2021-08-07 00:00:00,2021-08-13 00:00:00,144,5.59375,5.75,5.640625,10.28125,6.375,5.828125,7.171875,5.359375,6.578125,6.640625,5.671875,6.09375,5.640625,5.59375,6.8125,7.890625,5.65625,5.796875,5.5,10.921875,6.5625,6.53125,6.578125,5.875,5.828125,5.4375,6.109375,7.90625,5.578125,5.953125,7.484375,5.921875,10.40625,5.515625,6.40625,6.453125,11.8125,5.96875,6.78125,5.859375,5.75,5.390625,6.046875,5.328125,5.734375,5.484375,5.84375,7.046875,6.265625,5.828125
022513,2021-08-08 00:00:00,2021-08-09 00:00:00,24,9.96875,7.359375,7.515625,7.515625,7.40625,7.765625,7.59375,7.890625,7.875,7.96875,8.78125,7.671875,8.328125,7.640625,7.578125,7.703125,7.515625,7.53125,8.078125,7.71875,7.53125,9.859375,8.34375,7.8125,7.125,7.75,7.875,7.78125,7.671875,7.328125,7.34375,7.78125,7.953125,7.421875,7.71875,8.4375,7.828125,7.84375,9.484375,7.703125,7.0,8.015625,7.453125,7.5,7.65625,8.09375,8.890625,7.578125,7.53125,8.40625
022513,2021-08-08 00:00:00,2021-08-10 00:00:00,48,8.4375,6.65625,6.6875,6.578125,6.625,6.4375,6.40625,6.421875,6.671875,7.015625,7.390625,6.65625,7.984375,6.78125,6.453125,6.78125,6.5,6.46875,8.90625,9.28125,6.546875,8.34375,7.140625,7.203125,6.328125,6.484375,6.796875,6.71875,6.90625,6.515625,6.375,6.65625,6.640625,6.78125,6.875,7.25,6.6875,6.578125,7.796875,6.90625,6.15625,7.296875,7.046875,6.796875,7.203125,6.546875,7.359375,6.75,6.78125,7.453125
022513,2021-08-08 00:00:00,2021-08-11 00:00:00,72,7.46875,6.328125,7.171875,6.203125,6.484375,5.78125,6.0625,5.890625,6.53125,6.203125,6.703125,6.015625,8.046875,6.703125,5.828125,6.21875,6.859375,5.78125,8.84375,11.828125,6.46875,7.53125,6.59375,6.328125,6.078125,5.875,6.15625,5.859375,8.046875,6.34375,6.21875,5.984375,5.90625,6.46875,6.328125,8.0625,6.5,6.796875,6.703125,6.359375,5.84375,7.09375,8.171875,6.625,8.703125,5.953125,6.8125,6.21875,6.15625,7.171875
022513,2021-08-08 00:00:00,2021-08-12 00:00:00,96,6.765625,6.015625,7.390625,5.90625,6.453125,5.609375,5.921875,5.6875,6.046875,6.125,7.03125,6.109375,7.203125,6.78125,5.609375,5.703125,8.109375,5.546875,8.828125,15.28125,6.03125,6.96875,6.15625,6.15625,6.421875,5.828125,6.109375,5.671875,8.671875,6.640625,5.75,6.234375,5.953125,6.09375,5.84375,8.5625,6.0,6.65625,6.125,6.0,5.65625,6.796875,9.34375,6.265625,11.15625,6.03125,6.65625,5.90625,5.765625,6.625
022513,2021-08-08 00:00:00,2021-08-13 00:00:00,120,8.0,5.90625,8.453125,5.796875,6.453125,5.609375,5.796875,5.5625,6.71875,6.203125,7.84375,6.59375,7.640625,7.140625,5.515625,6.21875,7.953125,9.0,7.6875,14.734375,6.390625,6.59375,5.8125,6.046875,7.875,5.765625,9.546875,5.78125,10.640625,6.828125,5.640625,6.84375,5.9375,6.125,6.125,9.890625,6.71875,9.09375,5.8125,5.78125,5.671875,6.515625,9.59375,6.21875,12.078125,6.328125,7.109375,5.921875,5.84375,6.203125
